sim_time, my_bot/altitude_joint?0/velocity
429.631, 1.60644e-18
429.632, 1.58087e-18
429.633, -1.10339e-16
429.634, -1.1193e-16
429.635, 1.13395e-16
429.636, -4.47898e-20
429.637, -6.93148e-20
429.638, 1.11796e-16
429.639, 1.10263e-16
429.64, 2.23702e-16
429.641, -5.0642e-20
429.642, 1.43948e-18
429.643, 1.10328e-16
429.644, -1.11927e-16
429.645, 1.11812e-16
429.646, -7.93057e-20
429.647, -1.09104e-16
429.648, -1.46378e-18
429.649, -2.22379e-16
429.65, 1.10405e-16
429.651, 1.11803e-16
429.652, 1.11811e-16
429.653, -2.211e-16
429.654, 1.10489e-16
429.655, -2.25049e-16
429.656, 2.22301e-16
429.657, -1.11902e-16
429.658, 1.10514e-16
429.659, 2.22328e-16
429.66, -6.05926e-20
429.661, -1.10674e-16
429.662, 1.12075e-18
429.663, -2.22483e-16
429.664, 2.24705e-16
429.665, 1.06496e-18
429.666, -1.19566e-18
429.667, 1.09458e-16
429.668, -8.09281e-20
429.669, -1.11826e-16
429.67, 1.1169e-16
429.671, 9.96487e-19
429.672, -1.11824e-16
429.673, 9.89271e-19
429.674, 1.10662e-16
429.675, 1.9627e-18
429.676, -2.0785e-18
429.677, 1.11645e-16
429.678, -1.11778e-16
429.679, 1.10685e-16
429.68, -1.11763e-16
429.681, -1.11775e-16
429.682, -7.60269e-20
429.683, -9.6304e-19
429.684, -3.33335e-16
429.685, -9.36521e-19
429.686, 7.92318e-19
429.687, -9.11144e-19
429.688, -1.10884e-16
429.689, -1.10869e-16
429.69, -1.11283e-16
429.691, 2.22009e-16
429.692, 1.11584e-16
429.693, 2.22409e-16
429.694, -2.21773e-16
429.695, -1.11276e-16
429.696, -1.1128e-16
429.697, 1.1117e-16
429.698, -5.73405e-20
429.699, 1.11171e-16
429.7, 1.11163e-16
429.701, -1.1098e-16
429.702, 5.73266e-19
429.703, 1.10829e-16
429.704, -1.11608e-16
429.705, 2.36273e-19
429.706, -3.64973e-19
429.707, 2.1398e-19
429.708, 1.1115e-16
429.709, -3.58992e-19
429.71, -7.04978e-20
429.711, -7.63587e-20
429.712, 1.11137e-16
429.713, 2.22077e-16
429.714, -1.11026e-16
429.715, -1.11268e-16
429.716, 1.11118e-16
429.717, -2.9545e-19
429.718, -1.11044e-16
429.719, -1.62014e-19
429.72, 1.10698e-16
429.721, 1.13989e-19
429.722, -1.6125e-19
429.723, -2.22137e-16
429.724, -6.34644e-20
429.725, 2.21998e-16
429.726, 2.22001e-16
429.727, -2.22131e-16
429.728, -1.11142e-16
429.729, -2.22075e-16
429.73, -6.86929e-20
429.731, -1.11074e-16
429.732, 1.10934e-16
429.733, -1.31723e-20
429.734, -9.26479e-20
429.735, -1.11103e-16
429.736, -1.11079e-16
429.737, -8.57314e-20
429.738, 1.1098e-16
429.739, -9.84347e-20
429.74, 1.10947e-16
429.741, -5.67876e-20
429.742, -5.77418e-20
429.743, 2.21975e-16
429.744, -6.42102e-20
429.745, -2.22115e-16
429.746, 1.10953e-16
429.747, 1.10956e-16
429.748, 1.10953e-16
429.749, -1.11094e-16
429.75, -2.22113e-16
429.751, 1.10953e-16
429.752, 2.21975e-16
429.753, 1.1096e-16
429.754, 1.10956e-16
429.755, 1.10947e-16
429.756, 1.10972e-16
429.757, -1.11111e-16
429.758, 1.1095e-16
429.759, -1.11086e-16
429.76, 2.2196e-16
429.761, -1.11102e-16
429.762, 1.10942e-16
429.763, -6.58033e-20
429.764, 1.10943e-16
429.765, -1.11101e-16
429.766, -7.47335e-20
429.767, -7.43708e-20
429.768, 2.21934e-16
429.769, 1.11001e-16
429.77, 1.11002e-16
429.771, 1.11081e-16
429.772, 1.10844e-16
429.773, -1.11143e-16
429.774, 1.111e-16
429.775, -1.58891e-19
429.776, -1.6621e-19
429.777, -2.22028e-16
429.778, -1.68163e-19
429.779, -1.71361e-19
429.78, 2.21968e-16
429.781, 1.11114e-16
429.782, -3.03364e-19
429.783, -1.11021e-16
429.784, 1.10646e-16
429.785, -1.11272e-16
429.786, 1.11131e-16
429.787, 1.11148e-16
429.788, -6.18109e-20
429.789, -1.11e-16
429.79, -1.1101e-16
429.791, -7.31279e-20
429.792, 2.40011e-19
429.793, -1.10681e-16
429.794, 1.10841e-16
429.795, -1.10967e-16
429.796, -3.96901e-19
429.797, 1.11147e-16
429.798, -4.76407e-20
429.799, -7.55241e-20
429.8, 1.11177e-16
429.801, -1.11686e-16
429.802, 1.11161e-16
429.803, -4.38874e-19
429.804, 3.06752e-19
429.805, -6.28563e-20
429.806, -2.22534e-16
429.807, 1.11193e-16
429.808, -1.10895e-16
429.809, -1.11715e-16
429.81, 2.22403e-16
429.811, 3.78439e-19
429.812, 1.09855e-16
429.813, -6.34377e-20
429.814, -1.12666e-16
429.815, 1.10727e-16
429.816, 8.70582e-19
429.817, 3.33176e-16
429.818, -2.22532e-16
429.819, 9.25956e-19
429.82, -5.59138e-20
429.821, -1.06742e-18
429.822, -1.09762e-16
429.823, 9.56809e-19
429.824, 1.11687e-16
429.825, 1.1063e-16
429.826, -1.11821e-16
429.827, -1.1182e-16
429.828, 1.11689e-16
429.829, -1.11841e-16
429.83, 2.22384e-16
429.831, -1.11842e-16
429.832, 1.0983e-18
429.833, -1.09527e-16
429.834, -1.24782e-18
429.835, -1.23703e-18
429.836, -2.2123e-16
429.837, -6.55648e-20
429.838, 1.10513e-16
429.839, -2.22455e-16
429.84, -1.1064e-16
429.841, 3.34147e-16
429.842, -8.18867e-20
429.843, 1.09161e-16
429.844, -1.10581e-16
429.845, -2.23754e-16
429.846, -1.46069e-18
429.847, -1.11923e-16
429.848, -5.00409e-20
429.849, -1.13324e-16
429.85, -1.10536e-16
429.851, -1.10497e-16
429.852, -2.20934e-16
429.853, -1.49899e-18
429.854, -1.49903e-18
429.855, 2.23709e-16
429.856, 1.11827e-16
429.857, -2.22339e-16
429.858, -1.5766e-18
429.859, -5.76941e-20
429.86, -1.10431e-16
429.861, -1.10395e-16
429.862, -4.18442e-20
429.863, 1.10245e-16
429.864, 1.10224e-16
429.865, -1.08735e-16
429.866, -1.11947e-16
429.867, 1.11842e-16
429.868, -4.69891e-20
429.869, -1.72975e-18
429.87, -1.11974e-16
429.871, -1.11956e-16
429.872, 1.10113e-16
429.873, -1.10213e-16
429.874, -8.53357e-20
429.875, -6.21219e-20
429.876, -1.06682e-16
429.877, 2.16597e-16
429.878, 3.5385e-18
429.879, -3.67953e-18
429.88, -1.10151e-16
429.881, -3.72191e-18
429.882, -1.13817e-16
429.883, 2.23673e-16
429.884, 1.17441e-16
429.885, -1.09084e-19
